,flag,program,value
105,-fsso-struct=native,If-else-Structure-Prog,0.0
106,-fisolate-erroneous-paths-attribute,If-else-Structure-Prog,0.0
107,-ffp-int-builtin-inexact,If-else-Structure-Prog,0.0
108,-freciprocal-math,If-else-Structure-Prog,1.1115358146907646
109,-fvisibility=public,If-else-Structure-Prog,0.0
110,-ftabstop=3,If-else-Structure-Prog,1.1285578012767727
111,-fvect-cost-model=cheap,If-else-Structure-Prog,0.0
112,-mdispatch-scheduler,If-else-Structure-Prog,1.106668585453993
113,-fkeep-gc-roots-live,If-else-Structure-Prog,0.0
114,-fstrength-reduce,If-else-Structure-Prog,1.173796426399968
115,-gxcoff,If-else-Structure-Prog,0.0
116,-finit-real=nan,If-else-Structure-Prog,1.064343817015999
117,-finline-limit-,If-else-Structure-Prog,0.0
118,--undefine-macro,If-else-Structure-Prog,0.0
119,-mhle,If-else-Structure-Prog,1.1656416919787556
120,-fira-hoist-pressure,If-else-Structure-Prog,1.1566360700393985
121,-std=gnu++1y,If-else-Structure-Prog,1.0332477649329797
122,-ftree-loop-distribute-patterns,If-else-Structure-Prog,1.146724502298486
123,-mpc32,If-else-Structure-Prog,1.1397102413447855
124,-fprofile-update=single,If-else-Structure-Prog,0.0
125,-flive-patching=inline-only-static,If-else-Structure-Prog,0.0
126,-fcx-fortran-rules,If-else-Structure-Prog,1.1363867726257717
127,-gvariable-location-views,If-else-Structure-Prog,0.0
128,-mavx256-split-unaligned-store,If-else-Structure-Prog,1.030545376575922
129,-fearly-inlining,If-else-Structure-Prog,1.0881495381175823
130,-fsyntax-only,If-else-Structure-Prog,0.0
131,-gcoff3,If-else-Structure-Prog,0.0
132,-mpush-args,If-else-Structure-Prog,1.1625295627401973
133,-fselective-scheduling,If-else-Structure-Prog,1.1359288871965607
134,-fvpt,If-else-Structure-Prog,1.152890576132955
135,--write-dependencies,If-else-Structure-Prog,1.1638550043217537
136,-fstack-reuse=none,If-else-Structure-Prog,1.120715270586578
137,-floop-block,If-else-Structure-Prog,1.101953441569504
138,-freorder-blocks-and-partition,If-else-Structure-Prog,1.0493371378668332
139,-mrdpid,If-else-Structure-Prog,0.0
140,-fforce-addr,If-else-Structure-Prog,1.0049098077820782
141,-fnothrow-opt,If-else-Structure-Prog,1.1393931511788131
142,-fipa-cp-clone,If-else-Structure-Prog,1.0573567189637645
143,-fsched-critical-path-heuristic,If-else-Structure-Prog,1.0878433868920614
144,-mcx16,If-else-Structure-Prog,1.0149997726862765
145,-ftree-pre,If-else-Structure-Prog,0.9931102665852594
146,-mglibc,If-else-Structure-Prog,1.1414922251763109
147,-mbmi2,If-else-Structure-Prog,1.126374900623074
148,-fdbg-cnt-list,If-else-Structure-Prog,1.1120903805921465
149,-ftree-loop-im,If-else-Structure-Prog,1.1577950695784476
150,-gcoff2,If-else-Structure-Prog,0.0
151,-p,If-else-Structure-Prog,1.1332987827892442
152,-mieee-fp,If-else-Structure-Prog,1.1588302613083925
153,-mpku,If-else-Structure-Prog,1.1558856047270554
154,-minline-stringops-dynamically,If-else-Structure-Prog,1.1648961640840585
155,-mavx,If-else-Structure-Prog,1.007800532364128
156,-fassume-phsa,If-else-Structure-Prog,0.0
157,-fira-region=all,If-else-Structure-Prog,1.1274161652163432
158,-fexcess-precision=fast,If-else-Structure-Prog,1.1641094904261475
159,-fcf-protection=check,If-else-Structure-Prog,0.0
160,-gtoggle,If-else-Structure-Prog,1.0119293043602855
161,-fstack-check=no,If-else-Structure-Prog,1.1090555389080026
162,-fdevirtualize-speculatively,If-else-Structure-Prog,0.0
163,-mnop-mcount,If-else-Structure-Prog,0.0
164,-fsel-sched-pipelining-outer-loops,If-else-Structure-Prog,1.1216997331505174
165,-ginline-points,If-else-Structure-Prog,0.0
166,-fsplit-stack,If-else-Structure-Prog,1.150055292318148
167,-fsched-pressure,If-else-Structure-Prog,1.1487086457086806
168,--define-macro,If-else-Structure-Prog,0.0
169,-mforce-drap,If-else-Structure-Prog,1.0804568452636492
170,-F,If-else-Structure-Prog,0.0
171,-fdefer-pop,If-else-Structure-Prog,1.167842628394688
172,-mavx2,If-else-Structure-Prog,1.1747098889796002
173,-fsync-libcalls,If-else-Structure-Prog,1.1429843053418978
174,-fbuiltin-,If-else-Structure-Prog,0.0
175,-fpermitted-flt-eval-methods=ts-18661,If-else-Structure-Prog,0.0
176,-fthread-jumps,If-else-Structure-Prog,1.1669112818312333
177,-m3dnowa,If-else-Structure-Prog,0.0
178,-mstackrealign,If-else-Structure-Prog,1.126812272575564
179,-fstack-usage,If-else-Structure-Prog,1.1536746547627283
180,-mssse3,If-else-Structure-Prog,1.1430163953377952
181,-w,If-else-Structure-Prog,0.9891050600339988
182,-imultilib,If-else-Structure-Prog,0.0
183,-fconstexpr-depth=0,If-else-Structure-Prog,1.179250386563356
184,-finline-limit=1,If-else-Structure-Prog,1.0461324290396767
185,-floop-nest-optimize,If-else-Structure-Prog,1.021829432047948
186,-fschedule-insns,If-else-Structure-Prog,1.1567220928813888
187,-fdump-noaddr,If-else-Structure-Prog,1.1687981612798086
188,-freorder-blocks,If-else-Structure-Prog,1.1557340845578443
189,-fsched-rank-heuristic,If-else-Structure-Prog,1.102243888610627
190,-mshstk,If-else-Structure-Prog,0.0
191,-fbuilding-libphobos-tests,If-else-Structure-Prog,0.0
192,-msse5,If-else-Structure-Prog,1.1692503404164738
193,-mstack-arg-probe,If-else-Structure-Prog,0.0
194,-fvar-tracking-uninit,If-else-Structure-Prog,1.163399165236452
195,-fpcc-struct-return,If-else-Structure-Prog,1.169569445747055
196,-fpack-struct=3,If-else-Structure-Prog,0.0
197,-auxbase,If-else-Structure-Prog,0.0
198,-fsched-stalled-insns=3,If-else-Structure-Prog,1.1627024025817485
199,-fmax-errors=1,If-else-Structure-Prog,1.1352934952794866
200,-fdump-final-insns=filename,If-else-Structure-Prog,0.9698237206434618
201,-fdump-go-spec=filename,If-else-Structure-Prog,1.1546398804161413
202,-ftree-vrp,If-else-Structure-Prog,1.1728267445269327
203,-mxsavec,If-else-Structure-Prog,0.0
204,-fuse-ld=gold,If-else-Structure-Prog,1.0072615157131517
205,-flto-report-wpa,If-else-Structure-Prog,0.0
206,-fsplit-ivs-in-unroller,If-else-Structure-Prog,1.2033323075264668
207,-fguess-branch-probability,If-else-Structure-Prog,1.1458445430810265
208,-falign-functions,If-else-Structure-Prog,1.1640742472508805
209,-fsso-struct=big-endian,If-else-Structure-Prog,0.0
210,-fconserve-stack,If-else-Structure-Prog,1.1572694590753283
211,-flimit-function-alignment,If-else-Structure-Prog,0.0
