,-fif-conversion,-ftree-vect-loop-version,-flto,-std=c++0x,-fasan-shadow-offset=0,-fdump-unnumbered-links,-funwind-tables,-fsimd-cost-model=dynamic,-fverbose-asm,-fexpensive-optimizations,-mieee-fp,-freg-struct-return,-mfused-madd,-fkeep-gc-roots-live,-fcf-protection=none,-fpeephole2,-fmerge-all-constants,-ftrapv,-fident,-dumpbase,-fconstexpr-ops-limit=1,-fdiagnostics-show-location=every-line,-mmovdir64b,-fsched-stalled-insns,-gstabs,-mno-align-stringops,-fstrict-volatile-bitfields,-fdiagnostics-color,-fipa-sra,-mvpclmulqdq,-fgraphite-identity,-fearly-inlining,-frandom-seed,-mrecip,-fsync-libcalls,-gas-loc-support,-msse2avx,-mxsaves,-fdiagnostics-color=always,-malign-double,-fmessage-length=2,-m80387,-ftemplate-depth=2,-mbionic,-mindirect-branch-register,-gno-pubnames,-fvpt,-finit-real=zero,-p,-fsched-stalled-insns-dep=0,-finhibit-size-directive,-fvisibility=internal,-flimit-function-alignment,-ftree-vrp,-fmodulo-sched-allow-regmoves,-mlarge-data-threshold=0,-fcompare-debug-second,-fnon-call-exceptions,-mfsgsbase,-ftree-ccp,-mavx512vbmi2,-fchecking,-gcoff,-fcommon,-fmax-errors=1,-fbuiltin-,-msoft-float,-fcf-protection=full,-fpredictive-commoning,-v,-dumpdir,-mno-red-zone,-fsched-stalled-insns=3,-ftemplate-depth=0,-fsso-struct=little-endian,-mavx,-flto-report-wpa,-fstrength-reduce,-mavx512pf,-ftabstop=1,-fsched-interblock,-fmax-errors=3,-ftree-sink,-fsched-verbose=1,-fuse-ld=bfd,-fipa-struct-reorg,-fasan-shadow-offset=2,-ggnu-pubnames,-fpost-ipa-mem-report,-ftree-partial-pre,-fira-verbose=2,-freorder-blocks-algorithm=stc,-mxop,-mlzcnt,-O2,-mmmx,-ffp-contract=off,-ftree-dominator-opts,-gas-locview-support,-msse,-E,-fcx-fortran-rules,-mlong-double-64,-ftree-parallelize-loops=3,-fdump-go-spec=filename,-mcldemote,-findirect-inlining,-fstore-merging,-feliminate-unused-debug-symbols,-quiet,-minline-all-stringops,-fstack-limit,-ftime-report,-fprofile-reorder-functions,-mvaes,-ftree-store-ccp,--include-with-prefix-after,-ftree-loop-if-convert-stores,-mms-bitfields,-mmovbe,-falign-functions,-fsee,-frerun-cse-after-loop,-fprofile-report,-fpack-struct=3,-fkeep-inline-functions,-fira-share-spill-slots,-maccumulate-outgoing-args,-F,-fshow-column,-ftls-model=local-exec,-mmusl,-funit-at-a-time,-fvar-tracking,-ftree-loop-if-convert,-miamcu,-mvzeroupper,-ftree-copyrename,-fforce-addr,-mstv,-ftls-model=initial-exec,-pedantic,-fvect-cost-model=dynamic,-fstack-protector-all,-mavx5124fmaps,-gstabs+,-fmax-errors=2,-fconstexpr-loop-limit=0,-fsched-spec-insn-heuristic,-mno-sse4,-femit-class-debug-always,-fdisable-,-mavx512vpopcntdq,-finit-logical=false,-pedantic-errors,--pedantic-errors,-ggdb,-mrdrnd,-mpopcnt,-ftracer,-fuse-linker-plugin,-fconstexpr-depth=1,-ftree-reassoc,-fprofile-generate,-mpc32,-fivopts,-fprefetch-loop-arrays,-mbmi2,-fira-hoist-pressure,-freorder-blocks,-funsafe-loop-optimizations,-fcf-protection=check,-mfentry,-fconstexpr-depth=3,-fsave-optimization-record,-fssa-phiopt,-mforce-drap,-floop-unroll-and-jam,-ftree-ter,-fdelete-dead-exceptions,-fvisibility=hidden,-mintel-syntax,-fcf-protection,-fcaller-saves,-momit-leaf-frame-pointer,-flto-report,-fvar-tracking-uninit,-iquote,--version,-fbounds-check=safeonly,-mbmi,-MMD,-fcoarray=lib,--no-warnings,-fsplit-stack,-fsanitize-undefined-trap-on-error,-fdevirtualize,-fcheck-data-deps,-mxsave,-std=gnu++1y,-fsso-struct=big-endian,-ftree-salias,-fstack-protector,-imacros,-m96bit-long-double,-msgx,-msse4.2,-g,-fasynchronous-unwind-tables,-O3,-msse2,-fopt-info,-ftree-fre,-fstack-reuse=all,-gdwarf,-iwithprefixbefore,-frequire-return-statement,-fpeel-loops,-fif-conversion2,-mavx512er,-fcf-protection=branch,-fipa-icf-functions,-fipa-ra,-auxbase,-MD,--optimize,-gvariable-location-views=incompat5,-ginline-points,-fassociative-math,-m16,-fmessage-length=1,-mabm,-fgnat-encodings=gdb,-fstack-check=no,-mlarge-data-threshold=1,-fgcse,-ginternal-reset-location-views,-fbounds-check=on,-mhle,--define-macro,-fuse-ld=lld,-fvisibility=package,-fpartial-inlining,-fpack-struct=1,-flive-patching=inline-clone,-L,-fcoarray=single,-fvisibility=protected,--dumpbase,-fira-region=one,-mavx256-split-unaligned-store,-fdump-unnumbered,-fsched-stalled-insns=0,-fipa-cp-alignment,-fmerge-constants,-ftree-vectorize,-gdwarf-,-fstrict-aliasing,-msseregparm,-fsched-critical-path-heuristic,-floop-block,--all-warnings,-fpack-struct=2,-fsched-spec,-msse4.1,-fwhole-program,-fweb,-fargument-noalias,-fdse,-fpack-struct,-fira-share-save-slots,-msse5,-fmove-loop-invariants,-finline-limit=2,-gsplit-dwarf,-fdwarf2-cfi-asm,-imultiarch,-fhandle-exceptions,-fbuilding-libgcc,-fdebug=ident,-ffloat-store,-fversion=ident,-mnop-mcount,-fprofile-abs-path,-mmitigate-rop,-finstrument-functions,-finline,-ftoplevel-reorder,-fipa-stack-alignment,-fstack-clash-protection,-ftree-parallelize-loops=1,-mfma4,-mcrc32,-mavx2,-falign-loops,-ffp-contract=on,-ftree-slp-vectorize,-mno-fancy-math-387,-fhoist-adjacent-loads,-fira-algorithm=CB,-funswitch-loops,-mprefetchwt1,-mred-zone,-feliminate-unused-debug-types,-gcoff3,-fsched2-use-superblocks,-fdiagnostics-show-labels,--include,-fgcse-after-reload,-fcoarray=none,-funconstrained-commons,-mno-default,-fdump-passes,-mcet-switch,-m8bit-idiv,-Xf,-fargument-alias,-ftemplate-depth=3,-fsplit-wide-types,-foptimize-strlen,-fipa-vrp,-std=gnu++1z,-fexcess-precision=standard,-freciprocal-math,-fgcse-lm,-mlwp,-foptimize-sibling-calls,-finline-limit=3,-fsched-last-insn-heuristic,-mmanual-endbr,-fvect-cost-model,-fassume-phsa,-fsigned-zeros,-fshort-wchar,-fira-verbose=3,-mno-push-args,-fdiagnostics-color=auto,-iwithprefix,-fcse-skip-blocks,-fsimd-cost-model=cheap,-frerun-loop-opt,-mavx512vnni,-MT,-fsched-stalled-insns-dep=3,-fmerge-debug-strings,-fdiagnostics-show-option,-fsched-rank-heuristic,-fdbg-cnt-list,-Og,-ftree-phiprop,-mf16c,-ftree-cselim,-ftabstop=3,-fwrapv,-fwrapv-pointer,--pedantic,-mglibc,-fstdarg-opt,-ftree-store-copy-prop,-fstack-protector-explicit,-fcse-follow-jumps,-Hd,-mlarge-data-threshold=3,-fgraphite,-fversion=level,-mxsaveopt,-mcld,-fpre-ipa-mem-report,-ftree-loop-distribute-patterns,--output,-flto-odr-type-merging,--extra-warnings,-mavx512vbmi,-fbuilding-libphobos-tests,-ftrampolines,-finline-functions-called-once,-ftree-loop-im,-ftree-pta,-fcode-hoisting,-gstatement-frontiers,-fkeep-static-functions,-fsyntax-only,-ffast-math,-gvms,--profile,-gpubnames,-fsplit-ivs-in-unroller,-fgnu-tm,-fdce,-fmessage-length=0,-fsel-sched-pipelining,-mfp-ret-in-387,-fnothrow-opt,-fmax-errors=0,-fsched-spec-load,-mcall-ms2sysv-xlogues,-fdevirtualize-speculatively,-fsched-stalled-insns-dep,-fsched-group-heuristic,-floop-nest-optimize,-gcolumn-info,-fstack-reuse=none,-version,-fsignaling-nans,-fisolate-erroneous-paths-dereference,-fira-verbose=0,-fstack-check,--write-user-dependencies,-gcoff1,-fvariable-expansion-in-unroller,-freorder-blocks-and-partition,-fsched-pressure,-fipa-cp,-fdefer-pop,-fpeephole,-mpconfig,-mavx512ifma,-ftree-dse,-funroll-all-loops,-fshrink-wrap-separate,-fsched-verbose=3,-fprofile-update=single,-o,-ftree-lrs,-fvisibility=default,-fprintf-return-value,-fcombine-stack-adjustments,-fprofile-values,-fconstexpr-depth=0,-flive-patching,-fstrong-eval-order,-mavx5124vnniw,-freorder-blocks-algorithm=simple,-ftree-coalesce-inlined-vars,-fstack-protector-strong,-mandroid,-mpclmul,-O1,-fdump-internal-locations,-std=c++1y,-fbounds-check=off,-finit-real=inf,-gcoff2,-mclzero,-mgfni,-fsel-sched-pipelining-outer-loops,-fsched-stalled-insns-dep=2,-fargument-noalias-anything,-msse4a,-fprofile-arcs,-fversion,-Ofast,-auxbase-strip,-ftree-copy-prop,-flra-remat,-mptwrite,-mrtd,-fzee,-fvisibility=public,-finit-logical=true,-fcrossjumping,-fdelayed-branch,--dumpdir,-fconstexpr-ops-limit=2,-msse4,-fshrink-wrap,-fvtv-counts,-fbounds-check,-finline-small-functions,-fpermitted-flt-eval-methods=c11,-ftemplate-depth=1,-lang-asm,-fmodulo-sched,-fprofile-update=atomic,-fira-loop-pressure,-fthread-jumps,--include-with-prefix-before,-fno-threadsafe-statics,-funsafe-math-optimizations,-fintrinsic-modules-path,-flifetime-dse,-ftree-tail-merge,-floop-parallelize-all,-fipa-reference,-fselective-scheduling,-m128bit-long-double,-fsched-stalled-insns=1,-fsplit-loops,-fdebug=level,-mwaitpkg,-fvar-tracking-assignments-toggle,-fconstexpr-ops-limit=0,-finline-limit=0,-fvar-tracking-assignments,-ffunction-cse,-ffp-int-builtin-inexact,--write-dependencies,-mpc64,-fdiagnostics-show-caret,-fvect-cost-model=cheap,-frename-registers,-mmpx,-fdiagnostics-show-line-numbers,-grecord-gcc-switches,-mvect8-ret-in-mem,-mwbnoinvd,-fbtr-bb-exclusive,-ftree-scev-cprop,-fprofile-use,-fcf-protection=return,-floop-interchange,-fdebug-types-section,-fPIE,-ftrapping-math,-fcheck-new,-fasan-shadow-offset=1,-finit-real=nan,-fdata-sections,-fforward-propagate,-ffat-lto-objects,-imultilib,-fvect-cost-model=unlimited,-fshort-enums,-gstrict-dwarf,-fipa-pta,-fconstexpr-depth=2,-gdescribe-dies,-finline-functions,-ftree-dce,-fpermitted-flt-eval-methods=ts-18661,-ffinite-math-only,-mlong-double-128,-mmovdiri,-fleading-underscore,-floop-strip-mine,-fselective-scheduling2,-fgo-debug-escape,-fipa-pure-const,-fstrict-enums,-fschedule-insns2,-w,-fsched-dep-count-heuristic,-mfma,-fzero-initialized-in-bss,-mtls-direct-seg-refs,-ftree-switch-conversion,-ftree-parallelize-loops=2,-msahf,-foptimize-register-move,-aux-info,-fbranch-target-load-optimize,-mssse3,-mavx512dq,-std=gnu++0x,-fbuiltin-printf,-freschedule-modulo-scheduled-loops,-fgnat-encodings=minimal,-fcx-limited-range,-fstack-usage,-fipa-bit-cp,-fstrict-overflow,-fpack-struct=0,-freorder-functions,--verbose,-ftree-coalesce-vars,-mlong-double-80,-mavx512vl,-finline-limit-,-iprefix,-ftree-parallelize-loops=0,-falign-jumps,-mrtm,-madx,-fdiagnostics-color=never,-ffp-contract=fast,-mpcommit,-fprofile-correction,-m64,-O0,-mprfchw,-MQ,-fenable-,-funroll-loops,-ftime-report-details,-fdiagnostics-parseable-fixits,-fipa-icf,-MF,-Os,-mhard-float,--include-directory,-fstack-check=generic,-mfxsr,-ftree-bit-ccp,-floop-optimize,-fsched2-use-traces,-ftree-loop-linear,--include-with-prefix,-mavx512bitalg,-isystem,-mrdseed,-fipa-reference-addressable,-maes,-fipa-icf-variables,-ftls-model=global-dynamic,-fschedule-fusion,--undefine-macro,-ftree-loop-ivcanon,-fmath-errno,--param,-m3dnow,-fcprop-registers,-fuse-ld=gold,-fgcse-sm,-mxsavec,-ftree-loop-optimize,-finit-real=snan,-fexcess-precision=fast,-fregmove,-mtbm,-ftree-sra,-fgnu-unique,-ftree-pre,-ftabstop=0,-fcilkplus,-fira-region=all,-ftree-ch,-fbranch-count-reg,-x,-fipa-profile,-fallow-leading-underscore,-mavx512cd,-fira-verbose=1,-fsel-sched-reschedule-pipelined,-fprofile-update=prefer-atomic,-mstackrealign,-mdump-tune-features,-idirafter,-fdump-final-insns=filename,--dump,-fbranch-target-load-optimize2,-fconserve-stack,-fbranch-probabilities,-finline-atomics,-mlarge-data-threshold=2,-ftabstop=2,-fargument-noalias-global,--preprocess,--assert,-mpush-args,-fomit-frame-pointer,-finit-real=-inf,-frounding-math,-fisolate-erroneous-paths-attribute,-m32,-fcompare-elim,-fgnat-encodings=all,-fdump-noaddr,-mx32,-ftree-loop-distribution,-falign-labels,-fconstexpr-loop-limit=2,-mstack-arg-probe,-fpcc-struct-return,-fversion-loops-for-strides,-minline-stringops-dynamically,-ftest-coverage,-fsched-spec-load-dangerous,--include-prefix,-fira-region=mixed,-fsection-anchors,-fvtv-debug,-I,-gxcoff+,-feliminate-dwarf2-dups,-fdiagnostics-generate-patch,-fprofile,-free,-ffunction-sections,-mfancy-math-387,-fmem-report-wpa,-fkeep-static-consts,-fira-algorithm=priority,-mavx512bw,-std=c++1z,-fexceptions,-gtoggle,-fstack-reuse=named_vars,-frecord-gcc-switches,-floop-flatten,-fsched-stalled-insns=2,-fPIC,-fdiagnostics-show-location=once,-fjump-tables,-ftree-slsr,-fconstexpr-loop-limit=3,-m3dnowa,-mdispatch-scheduler,-mskip-rax-setup,-gxcoff,-fdelete-null-pointer-checks,-fschedule-insns,-malign-stringops,-mclflushopt,-fsanitize-address-use-after-scope,-mprefer-avx128,-ftree-builtin-call-dce,-flive-range-shrinkage,-gant,-mrecord-mcount,-mavx256-split-unaligned-load,-mclwb,-fsched-verbose=0,-gvariable-location-views,-faggressive-loop-optimizations,-fsso-struct=native,-fsched-stalled-insns-dep=1,-fplt,--imacros,-fpie,-mpc80,--debug,-gz,-fdevirtualize-at-ltrans,-fauto-inc-dec,-fname-mangling-version-,-fsingle-precision-constant,-fstack-check=specific,-flive-patching=inline-only-static,-finline-limit=1,-mpku,-fmessage-length=3,-fpic,-fmem-report,-msse3,-ftree-forwprop,-gnatO,-Hf,-fsemantic-interposition,-fgcse-las,-fipa-cp-clone,-fipa-matrix-reorg,-mcx16,-fvisibility=private,-ftrack-macro-expansion,--include-directory-after,-frtti,-fguess-branch-probability,-mavx512f,-ftls-model=local-dynamic,-fsched-verbose=2
examples-Functions-Recursive-Function-Calls-Prog,8,6,4,98,0,5,109,0,6,98,6,8,8,0,0,6,6,107,86,206,0,8,0,92,5,6,25,5,103,0,6,5,0,0,7,0,5,0,86,6,205,8,0,0,5,6,7,103,11,6,5,104,0,122,12,4,4,109,4,6,1,0,0,8,55,0,8,0,5,5,2,86,100,0,0,7,0,5,0,9,3,2,9,7,5,101,0,0,101,5,107,0,3,5,4,5,61,6,0,6,0,107,5,7,89,0,8,0,68,0,106,0,10,0,1,27,1,73,187,104,105,195,4,181,1,207,3,182,0,141,6,0,3,106,69,0,10,6,10,0,105,8,1,4,0,7,4,0,6,6,6,0,0,6,95,7,5,6,4,9,102,205,4,11,63,6,1,6,101,5,99,2,5,5,0,0,4,1,5,198,2,4,0,10,0,9,3,1,0,0,81,2,5,100,91,0,107,72,101,4,0,103,4,1,49,0,6,3,66,8,99,22,57,97,0,6,105,106,7,0,0,0,0,0,104,102,0,0,142,1,3,102,0,4,104,9,0,0,289,0,1,0,33,8,0,1,10,3,2,8,203,107,108,99,3,90,0,84,97,84,4,11,6,1,107,5,105,8,3,0,7,103,74,3,6,103,0,10,3,0,68,0,0,0,0,7,6,79,0,4,3,6,106,6,4,188,4,6,11,105,108,0,4,4,0,106,0,1,7,6,0,0,104,0,2,0,9,6,7,4,0,0,0,7,5,7,80,102,107,0,68,0,5,6,3,99,85,106,5,0,162,0,0,4,5,52,3,6,106,6,7,8,171,103,0,175,84,0,151,0,6,0,5,1,0,105,94,107,101,0,0,2,0,0,0,4,5,80,0,0,1,0,104,2,106,28,8,2,6,6,76,5,10,7,76,0,93,102,295,3,0,4,0,1,0,189,107,5,0,54,4,3,104,103,93,0,0,7,8,1,4,1,0,8,5,0,98,5,102,0,0,0,0,7,6,0,4,107,0,5,0,202,0,0,0,2,3,5,108,4,0,11,0,105,0,0,8,5,0,197,101,6,101,0,61,4,0,3,3,0,0,0,6,0,4,6,167,82,67,0,1,3,107,5,4,112,7,0,0,0,3,0,9,77,4,1,5,7,4,0,7,0,0,3,6,0,104,201,4,0,7,5,108,3,90,0,4,100,11,4,0,0,167,293,5,101,0,105,2,1,6,0,0,0,3,201,0,90,5,2,17,4,8,7,3,6,8,5,32,8,6,3,0,5,0,2,0,182,5,0,9,0,9,6,4,8,1,0,79,104,10,192,7,8,104,0,195,10,4,6,0,0,103,0,0,0,0,42,7,4,10,4,108,89,105,105,10,0,203,100,0,6,0,6,0,0,6,4,0,6,6,1,10,0,3,97,80,4,6,9,106,113,6,0,4,9,3,0,104,264,0,3,3,0,7,0,10,179,4,3,100,171,8,1,31,5,0,1,104,9,4,101,1,1,202,0,3,1,181,9,0,0,102,0,186,56,84,3,85,5,0,6,0,41,0,5,7,6,104,3,4,109,0,0,205,108,3,4,6,21,106,7,209,3,1,0,5,0,0,5,6,6,0,1,178,109,0,0,0,6,0,1,0,79,1,104,0,0,66,8,104,1,0,25,5,3,5,0,19,6,8,2,296,105,204,0,0,0,101,6,104,5,0,7,6,103,97,0,8,109
examples-String-Processing-Functions-strlen-Prog,108,20,6,50,0,3,5,0,3,92,150,5,172,0,0,4,5,8,8,7,0,7,0,106,2,8,7,3,6,0,7,179,0,9,4,0,109,0,486,200,108,206,105,0,186,7,60,3,7,84,191,152,0,106,3,101,86,4,89,92,0,0,0,7,107,0,117,0,2,6,2,101,281,10,0,109,0,103,0,101,7,202,104,101,6,271,0,0,7,4,7,0,11,104,6,184,5,99,0,101,0,3,7,146,102,0,103,0,7,0,204,0,103,0,0,6,4,298,106,2,7,8,5,8,0,88,78,196,1,4,3,0,3,89,103,0,3,72,5,0,8,10,0,105,0,4,104,0,57,5,84,0,0,7,201,102,4,102,7,106,9,5,97,177,101,106,5,103,207,105,6,0,4,100,0,0,5,0,9,10,103,109,0,188,5,4,6,0,0,0,206,156,5,3,6,0,317,395,80,285,0,166,105,0,144,0,103,11,102,102,1,101,105,160,0,8,10,285,173,0,0,0,0,0,2,102,0,0,4,0,107,194,0,8,8,54,0,0,105,0,1,0,6,2,0,0,4,192,4,11,106,203,6,0,104,9,0,6,10,208,6,8,7,5,9,162,7,50,104,107,5,66,102,205,6,8,0,106,5,0,6,0,0,0,0,210,5,9,0,109,107,102,104,11,3,207,8,8,205,89,5,0,109,5,1,203,0,0,9,100,0,0,3,0,7,0,107,104,6,5,0,0,0,94,2,110,7,2,4,0,5,0,3,104,103,70,6,5,5,0,106,0,1,4,103,8,305,7,103,6,104,103,77,180,0,200,4,0,103,0,103,0,10,7,0,4,102,69,173,0,0,104,0,0,0,105,5,105,0,0,0,0,202,1,5,7,103,200,5,5,100,4,5,68,6,0,0,8,86,5,0,109,0,101,0,106,8,3,0,208,10,109,47,204,23,0,0,200,3,0,85,0,0,7,12,0,3,57,5,0,0,0,0,1,105,0,1,107,0,4,0,44,0,0,0,6,64,3,104,187,0,7,0,6,0,0,3,405,0,12,3,102,5,0,5,6,0,4,3,0,4,0,8,0,8,7,202,4,8,2,0,5,6,5,1,6,5,0,0,0,2,0,3,178,6,0,7,32,3,0,3,0,0,194,204,0,61,107,301,0,166,106,86,5,5,0,62,4,10,2,4,0,9,5,102,183,0,169,103,0,5,0,0,0,107,61,0,107,106,9,6,4,101,287,4,6,11,7,6,7,106,79,0,104,0,9,0,8,8,0,102,0,6,184,7,10,0,0,3,72,121,8,106,6,7,0,7,200,7,10,1,0,8,0,0,0,0,127,5,7,105,106,5,5,5,5,4,0,6,108,0,9,0,303,0,0,104,4,0,6,87,107,104,0,11,8,4,107,7,91,107,171,106,0,3,103,5,0,108,4,0,5,5,0,3,0,4,6,4,10,117,3,6,5,165,5,0,5,8,10,6,7,0,0,5,0,5,1,2,1,0,0,161,0,104,65,100,7,203,6,0,9,0,103,0,8,93,4,5,9,4,4,0,0,4,94,204,4,9,10,10,103,103,29,0,0,4,0,0,9,103,4,0,0,104,5,0,0,0,4,0,8,0,6,0,2,0,0,4,4,11,0,0,6,58,8,5,0,70,3,44,102,5,60,6,0,0,0,4,109,6,4,0,302,10,8,76,0,2,6
examples-String-Processing-Functions-getline-Function-Prog,12,94,41,5,0,175,8,1,5,3,108,106,199,0,0,166,141,3,103,1,0,198,0,1,6,48,5,95,167,0,103,90,0,102,3,0,2,0,8,106,8,7,0,0,98,3,92,55,6,3,2,9,0,12,201,105,9,3,110,106,0,0,0,137,3,0,4,1,5,6,2,107,17,0,0,95,0,34,0,99,119,2,10,180,47,293,0,1,6,104,8,0,39,105,189,50,108,102,0,6,0,50,47,4,5,0,3,0,20,0,105,0,107,0,0,201,1,290,105,204,204,8,101,4,0,7,4,6,3,11,7,0,8,109,5,0,189,78,4,0,107,86,0,101,0,154,4,0,6,69,247,0,0,207,6,107,8,53,10,59,95,105,30,301,14,9,169,233,174,104,104,1,2,2,0,0,101,0,206,5,3,109,0,102,6,107,5,0,0,0,104,6,6,103,6,0,3,216,6,28,1,89,97,0,5,0,3,5,5,105,202,7,203,4,0,204,57,12,3,0,0,0,0,0,32,4,0,1,6,0,108,106,0,155,94,78,0,1,201,68,0,0,1,7,0,0,106,94,4,6,3,4,99,0,5,103,0,7,104,99,70,194,5,51,104,88,102,46,3,0,2,194,50,108,5,9,0,5,102,0,106,0,1,0,1,52,203,5,0,9,4,4,5,2,147,8,82,2,8,41,109,0,5,6,0,4,0,0,205,189,0,0,6,1,7,2,4,6,105,107,0,0,0,109,87,103,115,58,103,0,43,0,53,5,104,99,4,82,3,0,5,0,0,41,5,111,5,3,193,103,55,3,101,7,0,154,3,0,207,0,278,0,8,8,0,108,4,3,7,88,0,8,0,0,1,369,106,8,0,0,0,0,105,0,149,6,7,110,104,9,7,7,11,8,3,0,0,102,106,102,0,8,0,110,0,85,4,6,0,201,87,37,4,102,4,0,0,5,199,0,90,1,0,7,6,0,6,92,9,0,0,1,0,8,108,0,104,103,0,5,0,3,0,0,0,7,5,101,21,6,0,6,0,5,0,0,5,7,0,202,3,107,5,0,3,9,0,221,105,0,0,0,0,0,98,8,99,105,131,4,0,47,2,104,8,4,7,0,0,0,6,1,131,104,106,0,3,106,5,0,67,0,0,55,4,0,147,56,10,0,201,100,89,103,8,0,6,89,61,86,0,0,6,20,69,259,0,102,84,0,3,0,0,0,7,5,0,61,102,103,83,4,6,103,7,80,103,9,104,99,5,7,0,100,0,79,0,3,367,0,2,0,6,101,10,8,0,0,239,5,90,79,3,177,4,0,5,108,13,7,0,0,4,0,0,0,0,101,103,3,7,16,3,103,6,166,3,0,2,144,0,45,0,3,0,0,9,6,0,20,6,101,5,0,7,5,39,48,11,7,9,4,103,0,6,2,8,0,6,106,0,4,9,0,6,0,2,104,201,5,5,43,1,144,23,8,0,3,99,17,2,157,0,0,303,0,120,0,8,105,0,1,103,0,5,6,98,1,3,8,0,72,0,253,0,25,278,5,102,6,52,209,0,0,2,5,63,5,202,251,41,5,15,6,0,0,4,0,0,43,20,9,0,0,4,3,0,0,0,7,97,5,0,5,0,169,0,0,5,106,3,0,0,8,105,5,186,0,6,105,105,48,5,103,5,0,0,0,202,104,7,4,1,12,108,4,6,0,4,45
examples-Arrays-Array-in-Functions-Prog,6,42,103,11,0,8,4,0,7,7,7,4,6,0,0,106,7,4,3,5,0,154,0,7,6,10,7,103,7,0,96,6,0,21,3,0,5,0,106,5,105,6,0,0,29,5,105,7,146,7,8,65,0,5,3,2,9,105,18,152,0,0,0,11,103,0,1,0,7,5,1,39,6,0,0,103,0,158,0,95,105,98,5,4,5,8,0,0,9,8,59,0,2,7,4,5,3,105,0,3,0,6,2,104,4,0,102,0,1,0,97,0,107,0,0,149,4,1,9,39,108,12,2,3,0,5,0,63,1,4,254,0,5,107,4,0,88,6,5,0,6,9,0,7,0,5,6,0,106,8,7,0,0,10,5,7,8,3,105,7,3,5,81,8,11,4,97,186,6,88,5,0,102,6,0,0,143,0,5,0,3,68,0,4,5,7,89,0,0,0,8,8,4,9,4,0,60,7,6,6,0,4,106,0,5,0,10,6,4,9,6,5,7,129,0,4,2,5,5,0,0,0,0,0,106,7,0,0,14,0,6,105,0,5,28,7,0,0,3,0,0,0,5,7,0,0,173,4,4,2,7,103,7,0,8,8,0,3,108,1,104,7,54,6,4,102,7,5,7,0,7,7,4,65,30,10,0,87,2,0,5,0,0,0,0,6,103,113,0,4,4,101,13,101,7,108,6,6,103,8,3,0,3,103,0,83,0,0,170,5,0,0,4,0,3,0,4,5,5,6,0,0,0,6,4,108,101,7,4,0,4,0,7,8,8,8,7,5,5,0,8,0,0,5,8,7,9,6,72,8,6,105,4,9,0,3,3,0,102,0,6,0,5,6,0,7,10,6,5,0,0,10,0,0,0,4,108,105,0,0,0,0,9,0,3,6,5,2,108,3,102,105,6,3,104,0,0,5,8,6,0,9,0,258,0,107,8,7,0,8,44,3,84,3,5,0,0,5,3,0,4,0,0,1,5,0,106,9,6,0,0,0,0,107,106,0,9,106,0,75,0,226,0,0,0,91,1,204,4,107,0,7,0,108,0,0,103,4,0,8,8,183,4,0,8,4,0,12,6,0,0,0,8,0,14,208,1,83,9,0,0,3,107,109,4,6,82,0,0,0,7,0,135,4,6,0,6,3,6,0,8,0,0,5,7,0,10,6,5,0,5,9,8,6,8,0,1,5,7,4,0,0,6,106,4,10,0,9,5,0,7,0,0,0,84,6,0,108,1,6,4,2,4,104,8,4,3,104,3,8,1,105,0,6,0,28,0,9,107,0,4,0,6,5,6,2,0,0,9,6,6,6,70,5,20,0,4,96,4,4,0,0,10,0,0,0,0,6,5,4,6,99,32,5,2,5,4,0,6,50,0,4,0,51,0,0,8,0,0,7,8,3,4,0,5,5,108,12,3,106,5,47,106,0,7,6,7,0,31,6,0,4,3,0,9,0,5,102,2,6,2,9,10,104,93,3,0,1,4,152,6,12,0,0,5,0,8,0,172,9,0,0,16,0,5,5,3,4,105,6,0,6,0,6,0,4,6,105,6,4,4,8,0,0,105,7,7,3,91,105,6,8,105,3,0,0,204,0,0,7,194,19,0,0,40,4,0,0,0,8,0,103,0,6,0,8,0,0,152,6,4,0,0,86,2,9,8,0,8,53,2,9,13,103,103,0,0,0,4,8,5,7,0,5,5,3,5,0,6,5
